id,year,Latitude,Longtitude,location,country,main_descriptor,secondary_descriptor,additional_descriptor,depth,exp_year,soc.value,soc.value_units,labmethod,crop,soil type,average slope,average elevation
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,With fertilization - 287 kg N/ha as potassium nitrate,100-110,3,0.068,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
202,2013,-1.493,120.056,Central Sulawesi,Indonesia,Land use,Agroforestry,Agroforestry,150-250,6,0.078,%,CN analyzer,"Agroforestry, Cacao",Cambisols,NA,585
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,With fertilization - 287 kg N/ha as ammonium sulphate,100-110,3,0.084,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,Without fertilization,100-110,3,0.094,%,Walkley and Black,Taphra stylo,Oxic Paleustults,NA,NA
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,Without fertilization,100-110,3,0.095,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,With fertilization - 287 kg N/ha as potassium nitrate,50-60,3,0.107,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
188,2008,-17.08787,-64.89567,"Napu Valley, Central Sulawesi",Indonesia,Land use,Agroforestry,Agroforestry,60-100,4,0.12,%,NA,"Agroforestry, Cocoa, Gliricidia",NA,NA,1152.5
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,With fertilization - 287 kg N/ha as ammonium sulphate,50-60,3,0.122,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,Without fertilization,50-60,3,0.135,%,Walkley and Black,Gamba,Oxic Paleustults,NA,NA
191,2008,16.43,103.06,Chiang Yuen,Thailand,Intervention,Fertilization,Without fertilization,50-60,3,0.143,%,Walkley and Black,Taphra stylo,Oxic Paleustults,NA,NA
